CUSTOMER_ID,PREDICTED_DATE,PREDICTED_QUANTITY,MAPE,PREDICTION_MODEL,FORECAST_GENERATION_DATETIME
10,2026-03-01,34959112.0614403,373.4,ARIMA,2025-06-05 10:43:45
10,2026-04-01,33484932.441319544,373.4,ARIMA,2025-06-05 10:43:45
10,2026-05-01,34007037.79372086,373.4,ARIMA,2025-06-05 10:43:45
11,2025-06-01,27452997.25610567,27.64,ARIMA,2025-06-05 10:43:45
11,2025-07-01,28980091.74558726,27.64,ARIMA,2025-06-05 10:43:45
11,2025-08-01,29973824.516828872,27.64,ARIMA,2025-06-05 10:43:45
11,2025-09-01,30620480.521052137,27.64,ARIMA,2025-06-05 10:43:45
11,2025-10-01,31041281.76651728,27.64,ARIMA,2025-06-05 10:43:45
11,2025-11-01,31315111.572517015,27.64,ARIMA,2025-06-05 10:43:45
11,2025-12-01,31493302.021005265,27.64,ARIMA,2025-06-05 10:43:45
11,2026-01-01,31609256.65865518,27.64,ARIMA,2025-06-05 10:43:45
11,2026-02-01,31684712.31919475,27.64,ARIMA,2025-06-05 10:43:45
11,2026-03-01,31733813.906012274,27.64,ARIMA,2025-06-05 10:43:45
11,2026-04-01,31765765.992983073,27.64,ARIMA,2025-06-05 10:43:45
11,2026-05-01,31786558.31209047,27.64,ARIMA,2025-06-05 10:43:45
12,2025-06-01,29705787.851802457,7.61,ARIMA,2025-06-05 10:43:45
12,2025-07-01,29193931.486558396,7.61,ARIMA,2025-06-05 10:43:45
12,2025-08-01,28772792.867629737,7.61,ARIMA,2025-06-05 10:43:45
12,2025-09-01,28426293.83314265,7.61,ARIMA,2025-06-05 10:43:45
12,2025-10-01,28141205.799169626,7.61,ARIMA,2025-06-05 10:43:45
12,2025-11-01,27906644.720998336,7.61,ARIMA,2025-06-05 10:43:45
12,2025-12-01,27713655.563838255,7.61,ARIMA,2025-06-05 10:43:45
12,2026-01-01,27554870.418955177,7.61,ARIMA,2025-06-05 10:43:45
12,2026-02-01,27424227.212846838,7.61,ARIMA,2025-06-05 10:43:45
12,2026-03-01,27316738.27038415,7.61,ARIMA,2025-06-05 10:43:45
12,2026-04-01,27228299.89615928,7.61,ARIMA,2025-06-05 10:43:45
12,2026-05-01,27155535.704268064,7.61,ARIMA,2025-06-05 10:43:45
13,2025-06-01,28335784.147135325,33.45,ARIMA,2025-06-05 10:43:45
13,2025-07-01,22006953.198438466,33.45,ARIMA,2025-06-05 10:43:45
13,2025-08-01,39764807.953895964,33.45,ARIMA,2025-06-05 10:43:45
13,2025-09-01,44548815.584513135,33.45,ARIMA,2025-06-05 10:43:45
13,2025-10-01,32191734.778433792,33.45,ARIMA,2025-06-05 10:43:45
13,2025-11-01,27033100.722271882,33.45,ARIMA,2025-06-05 10:43:45
13,2025-12-01,34275996.38109903,33.45,ARIMA,2025-06-05 10:43:45
13,2026-01-01,38085100.18667888,33.45,ARIMA,2025-06-05 10:43:45
13,2026-02-01,33330239.469747566,33.45,ARIMA,2025-06-05 10:43:45
13,2026-03-01,30081389.120472193,33.45,ARIMA,2025-06-05 10:43:45
13,2026-04-01,32781432.648034208,33.45,ARIMA,2025-06-05 10:43:45
13,2026-05-01,35116370.7929266,33.45,ARIMA,2025-06-05 10:43:45
14,2025-06-01,33136399.41226716,90.48,ARIMA,2025-06-05 10:43:45
14,2025-07-01,31685256.184297897,90.48,ARIMA,2025-06-05 10:43:45
14,2025-08-01,30513733.197339993,90.48,ARIMA,2025-06-05 10:43:45
